RANK,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,REB,AST,STL,BLK
553,D.J. Carton,TOR,4,33,3,1,7,14.3,0,3,0,1,1,4,3,2,0
553,Quincy Olivari,LAL,2,10,3,1,5,20,1,5,20,0,0,0,1,0,0
553,Tristen Newton,MIN,8,16,3,1,8,12.5,0,3,0,1,1,4,2,1,0
558,Malevy Leons,OKC,6,21,2,0,2,0,0,1,0,2,4,3,1,0,0
558,Yuri Collins,GSW,2,16,2,1,3,33.3,0,0,0,0,0,3,4,2,0
560,Daishen Nix,MIN,3,13,1,0,1,0,0,1,0,1,2,4,3,0,0
561,Isaiah Stevens,MIA,3,6,0,0,2,0,0,1,0,0,0,2,0,1,0
561,Jahlil Okafor,IND,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0
561,Jalen McDaniels,SAC,4,7,0,0,0,0,0,0,0,0,0,0,1,1,0
561,Jesse Edwards,MIN,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0
561,Mac McClung,ORL,2,10,0,0,2,0,0,1,0,0,0,1,3,0,0
561,Riley Minix,SAS,1,7,0,0,1,0,0,1,0,0,0,2,0,0,0
561,Terence Davis,SAC,1,8,0,0,2,0,0,1,0,0,0,1,1,0,0
561,Terry Taylor,SAC,3,6,0,0,1,0,0,0,0,0,0,1,2,0,0
561,Zyon Pullin,MEM,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0
